,作者,文章名称,关键词,摘要,发表位置,时间,单位或其他,下载量,被引量
779,卢超,武夷山土壤发生特性与系统分类研究,土壤发生特性/土壤系统分类/山地土壤/武夷山,"选取武夷山土壤垂直带中6个代表性剖面,在野外观察、样品采集、室内测试基础上,测定了土壤剖面的理化性质。结果表明,武夷山土壤的主要发生特性随海拔高度呈规律性的变化;在研究了土壤的形成条件和特点的基础上,按照《中国土壤系统分类检索》(第3版),鉴定了诊断层和诊断特性,检索了土壤系统分类名称,本区土壤分布垂直带谱的亚类从下到上依次为黏化富铝湿润富铁土、强度铝质湿润淋溶土、普通简育常湿雏形土、普通铝质常湿雏形土、石质铝质常湿雏形土和石质简育常湿雏形土。",《山东农业科学》,"
2009年08期","【作者单位】：
                福建师范大学地理科学学院;  【基金】：国家基础科学人才培养基金(J0830521)  【分类号】：S155",193,8
780,王锐,贺兰山东麓土壤特征及其与酿酒葡萄生长品质关系研究,贺兰山东麓/酿酒葡萄/土壤质量/葡萄品质,"宁夏贺兰山东麓酿酒葡萄产区土地资源、水热系数、光温优势明显,酿酒葡萄香气发育完全,色素形成好,糖含量高,酸度适中,病虫害轻,被国内外专家认定为世界最佳酿酒葡萄生态栽培地区之一。气候因素与优质酿酒葡萄品质关系的研究较多,但与葡萄品质形成关系密切的土壤因子尚不明确。通过大量采样研究和试验,全方位分析了贺兰山东麓酿酒葡萄产区土壤物理、化学和生物学性质,系统研究了土壤质量因子与酿酒葡萄生长发育、产量和品质形成的关系,建立了完善的土壤质量评价指标体系,旨在为贺兰山东麓酿酒葡萄产业可持续发展提供理论依据和实践指导。主要研究结果如下:1.通过对贺兰山东麓典型酿酒葡萄园不同土壤层次和种植年限的土壤物理指标进行分析发现:(1)贺兰山东麓土壤质地粗,砂粒含量50%以上,受冬季埋藤的影响,表层和次表层差异不显著,1 m左右洪积母质特征明显,土壤发育程度差。(2)土壤团聚体含量较少,随酿酒葡萄种植年限的增加,葡萄园土壤0.25 mm水稳性团聚体显著增加。(3)葡萄园土壤容重普遍偏大,平均达到1.39 g·cmP-3P以上,过大的容重抑制了根系的生长发育,长势受限。(4)土壤表层以通气孔隙和毛管孔隙为主,次表层以毛管孔隙为主,底层则以非活性孔隙和毛管孔隙为主,土壤通透性好,但水肥渗漏严重。(5)土壤底层田间持水量最高,表层饱和含水量最高,田间持水量变异系数较大,饱和含水量变异系数相对较小,土壤干湿转换快,保水性能差。(6)按照贺兰山东麓百万亩葡萄长廊分布区域划分,贺兰山沿山产区砂性较强,以砾质砂土为主,不利于酿酒葡萄根系发育;芦花台产区土壤过于粘重;黄羊滩和玉泉营产区土壤以淡灰钙土和风沙土为主,土壤物理结构不稳定;青铜峡和大武口产区以砂壤土为主,通气性较好;红寺堡产区以中壤为主,土壤持水能力强。2.贺兰山东麓酿酒葡萄园土壤化学指标空间变异显著,(1)酿酒葡萄园土壤p H变异较大,主要集中在8.11-9.21之间,多呈强碱性。(2)不同层次间全盐含量差异不显著,区域间变异较大,总体上含量较低,非限制因素。(3)土壤有机质普遍偏低,新定植葡萄园6 g kg-1,表聚性明显。(4)土壤碱解氮随土层深度的增加而递减,但水氮协同分布,差异不显著。(5)酿酒葡萄园土壤有效磷的含量普遍较高,但受表土施肥影响变异性较大,其含量随着土层的加深而显著降低。(6)受土壤母质和酿酒葡萄施肥方式影响,表层速效钾含量较高,随深度增加而降低。(7)贺兰山东麓土壤中微量元素处于低水平状态,除了有效钙、有效镁和有效铜以外都比较缺乏,强碱性环境加重了微量营养元素供应不足。3.不同种植区域和种植年限酿酒葡萄园土壤生物学指标研究表明,(1)随着定植年限的增加微生物代谢熵显著降低,葡萄的种植降低了微生物代谢过程中的能量利用效率,维持微生物活性需要消耗更多的碳源。2年生酿酒葡萄园土壤微生物呼吸消耗碳最高,土壤基础呼吸速率与有机碳的比率随着葡萄种植年限的增加而下降。(2)土壤脲酶、磷酸酶和蔗糖酶活性均可用于表征石灰性瘠薄土壤的肥力水平。(3)土壤微生物量氮越高,对应的微生物量氮和全氮的比值非同步越高,2年葡萄园整体最高,5年生葡萄园随深度增加而减少,8年生葡萄园随深度增加而增加。(4)贺兰山东麓土壤微生物量磷含量在0.28-3.00 mg·kg-1之间,施肥导致土壤微生物量磷显著增加,酿酒葡萄定植年限越长,土壤微生物量磷含量越高,随着土壤深度的增加其含量随之降低。4.对贺兰山东麓土壤质量指标与酿酒葡萄生长及品质进行相关性分析表明,(1)土壤质地能显著影响酿酒葡萄的品质,砂粒含量越高,对应可溶性固形物、总酚和单宁含量越高,可滴定酸则越低。(2)土壤有机质与副梢发生数、可溶性固形物、花色苷和单宁呈显著正相关,与根量、根深和总酚呈极显著相关,但与果汁p H呈负相关。(3)土壤全氮和碱解氮与葡萄生长指标均呈正相关,其与百叶重、新梢长、副梢数和产量相关性均达到显著水平。磷素对酿酒葡萄百粒重、果穗重和鲜重均有明显影响,磷素能促进酿酒葡萄含糖量增加,降低总酸。速效钾与果汁p H呈负相关,与可滴定酸和总酚呈显著正相关。(4)土壤有效铁对新梢生长有明显促进作用;有效锌对副梢数有一定促进作用,与可溶性固形物呈显著正相关;有效锰与花色苷和总酚呈显著相关。(5)土壤通气性和排水性直接影响葡萄果粒大小和果穗松散度,果穗越松散,受光效果越好,花色苷越高,果粒越小,花色苷的累积越高。(6)土壤微生物及酶活性与酿酒葡萄品质形成因素相关性不大,微生物量C、N、P与可溶性固形物相关性较高。(7)土壤因素参与了酿酒葡萄浆果的酚类化合物合成,不同土壤类型下酿酒葡萄成熟度和品质差异显著。风沙土酿酒葡萄成熟期较早,果实糖分、果皮颜色物质含量较高,对葡萄芳香物质形成较好;灰钙土上葡萄成熟期适中,单宁适中,酸度偏低,对单宁和酚类物质形成较为适宜;灌淤土上葡萄成熟期较长,葡萄果实酸度含量较高。5.采用主成分分析法与灰色关联度分析方法构建了贺兰山东麓土壤物理、化学和生物学质量综合评价体系。从代表性、经济性、重现性、可操作性等多方面综合信息考虑,从33个指标中得到了一个能最大限度的代表所有候选土壤参数而又尽可能少的损失这些候选参数所包含的土壤质量信息的最小数据集,分别由物理质量指标中的质地、容重和田间持水量,化学质量指标中的有机质、速效钾、有效钙,生物学质量指标中的微生物区系总量共8项关键指标共同构成。这一综合评价指标体系能够有效反映贺兰山东麓酿酒葡萄园土壤自身质量优劣,也能充分反映土壤质量与酿酒葡萄产量品质的紧密关系,从而能够用于提高土壤质量,优化区域土地资源以及土地的持续利用,并有力促进贺兰山东麓酿酒葡萄优势产区酿酒葡萄产业的可持续发展。",《西北农林科技大学》,"
2016年",【学位授予单位】：西北农林科技大学【学位级别】：博士【学位授予年份】：2016【分类号】：S663.1,1150,24
781,李金全,武夷山红壤、黄红壤与黄壤参比及合理开发利用,红壤/黄红壤/黄壤/武夷山,"选取了武夷山红壤、黄红壤与黄壤的5个代表性剖面,采样进行室内理化性质分析。通过实地观察及各项指标的对比分析,结果表明:随着海拔的升高依次分布红壤、黄红壤和黄壤;从红壤→黄红壤→黄壤,有机质累积逐渐增加,而粘粒含量、黏化率及粉粘比逐渐减小。在上述理化性质参比分析的基础上,对武夷山保护区红壤、黄红壤及黄壤的合理开发利用作了简要分析。",《安徽农学通报(上半月刊)》,"
2011年11期","【作者单位】：
                福建师范大学地理科学学院;  【基金】：国家基础科学人才培养基金(J0830521)  【分类号】：S159.2",254,5
782,韩正金,高强度超疏水混凝土制备及其性能研究,超疏水表面/混凝土/防冰性/抗冻融,"钢筋混凝土结构具有易浇注、耐冲击、耐磨损等优良特性,是世界上应用最广泛的结构形式和用量最多的建筑材料。然而,在临海工程、盐渍土、长期使用除冰盐及寒冷地带等特殊环境中钢筋混凝土构筑物会因遭受腐蚀或冻融破坏而导致其结构耐久性显著下降,多数建筑物运行十几年后即发生腐蚀破坏和结构的早期损坏,严重影响了建筑物的安全运行。超疏水表面具有自清洁、抗结冰结霜、耐腐蚀等优良特性,且经过十几年的科学研究其已经从理论实验转向以应用为背景,以低表面能理论为基础的多功能化、高稳定性方向发展。论文针对混凝土构筑物在腐蚀环境与寒冷环境中耐久性较差的情况,将超疏水性应用于提高混凝土的耐久性,研究制备了一种具有高强度超疏水表面的抗腐蚀混凝土,并对混凝土超疏水表面的原理、稳定性及防冰性等基本性能做了研究,对混凝土本身的抗冻融破坏和抗腐蚀破坏性能进行了试验测试。论文依据江雷院士提出的“二元协同作用”原理,使用低表面能材料氟硅烷处理混凝土以降低其表面能,通过在混凝土材料表面覆盖铜网,构筑表面微纳米复合粗糙结构,成功在混凝土上制备出超疏水表面。测试结果表明:混凝土超疏水表面接触角达154.2°,滚动角6.8°,且水滴与混凝土表面的接触符合Cassie-Baxter理论模型。摩擦实验表明,混凝土超疏水表面耐摩擦性能优于商业超疏水涂层Never-wet,具有较强的抗摩擦破坏稳定性。模拟冻雨环境下的防冰性实验表明:混凝土超疏水表面既具有较强的防结冰性能又有较好的易除冰性。混凝土吸水率实验表明:超疏水混凝土的吸水率显著低于普通混凝土,在去离子水中吸水率仅为普通混凝土的41.6%,而在3.5%NaCl溶液中则为普通混凝土的19%。冻融实验表明,超疏水混凝土较普通混凝土的抗冻融破坏性能得到大幅度提升,普通混凝土在冻融循环110次后即破碎开裂且质量损失达6.7%,而超疏水混凝土经190次循环后质量损失仅有0.26%,冻融循环210后仍然无明显破坏。超疏水混凝土的极化曲线与电化学阻抗谱测试分析表明,超疏水混凝土较普通混凝土耐腐蚀性能优异,且其抗腐蚀性能具有一定的耐久性。",《大连理工大学》,"
2017年",【学位授予单位】：大连理工大学【学位级别】：硕士【学位授予年份】：2017【分类号】：TU528,396,5
783,李贵宝/杜霞/,污水资源化及其农业利用(污灌)的对策,污水灌溉/农村水环境/污灌区/污水资源化,"正 随着人类社会的飞速发展,水资源短缺和水环境污染变得日益明显,两者的矛盾也变得日益尖锐,影响了社会经济的进一步发展甚至人们的生存。因此,污水资源化这一既能弥补现有水资源的不足,又能有效地抑制水环境污染的有效途径越来越受到了世界各国的关注。中国水资源战略咨询报告在供水量组成中已把污水利用作为新的组成部分。",《建设节水型社会与现代节水技术论文及有关材料选编集》,2004年,【作者单位】：中国水利水电科学研究院水环境研究所  中国水利水电科学研究院水环境研究所  【分类号】：S273.5,51,0
784,贺蕊,石英对于X衍射仪测量红土中粘土矿物的影响,粘土矿物/X衍射仪/红土/,"粘土矿物分析对于地质学研究具有重要的意义,同时对于成土环境的形成具有一定的指示意义。运用X衍射仪对矿物分析是有效可行的办法,选取滇东地区典型石灰岩红土和玄武岩红土进行X衍射仪分析,发现石英的含量对于粘土矿物衍射图谱的形成具有强烈的影响,去除石英之后,检测出石灰岩红土中含量较弱的高岭石、白云母;玄武岩红土中含量较弱的蒙脱石、针铁矿。通过对去除石英前与去除石英后衍射峰值的比较分析,可知:(1)石英含量较低情况下也会出现较强峰值;(2)去除石英之后,可以检测出土壤中含量较弱的粘土矿物。",《红河学院学报》,"
2017年05期","【作者单位】：
                云南师范大学旅游与地理科学学院;  【分类号】：P575",120,0
785,张耀方/赵世伟/王子龙/李晓晓/李明瑞/杜璨/,黄土高原土壤团聚体胶结物质的分布及作用综述,土壤团聚体/胶结物质/分布/胶结作用,"胶结物质是土壤团聚体形成与稳定的基础和核心。以黄土高原团聚体胶结物质的区域特点为基础,对已有的团聚体形成理论及各胶结物质在团聚体形成过程中的作用特点等相关研究成果进行综述,分析总结出黄土高原土壤团聚体胶结物质的分布具有典型的区域特性:黏粒质量分数较低且空间分布差异大,随土壤剖面加深而降低;碳酸钙质量分数整体为10%左右,随土壤剖面加深先升高后降低;有机碳质量分数从东南向西北逐渐降低,且随土壤剖面加深而降低。主要存在问题包括:胶结剂类型在团聚体形成过程的差异、具体作用方式、强度和机理方面缺乏针对性系统研究;因此提出了相应的研究方向:根据胶结物质在土壤剖面的规律性变化,针对土壤腐殖质层、过渡层、碳酸钙淀积层胶结剂分布特征,分别开展有机碳为主、有机碳和碳酸钙交互作用、碳酸钙为主3种类型下的团聚体胶结过程、强度及机制研究。",《中国水土保持科学》,"
2015年05期","【作者单位】：
                中国科学院水利部水土保持研究所;中国科学院大学;西北农林科技大学水土保持研究所;河南省灵宝市焦村镇人民政府;  【基金】：国家自然科学基金“胶结物质驱动的土壤团聚体形成过程与稳定机制”(41330852)  【分类号】：S152.4",547,30
786,章明奎,各种形态的铁铝锰在浙西黄壤中的分布,有机物质/游离态铁/山地黄壤/无定形铁,本文分析了渐西山地黄壤中各种形态的铁、铝、锰的分布特点，并探讨了这些元素与土壤有机物质之间的关系。,《土壤》,"
1995年03期","【作者单位】：
                浙江农业大学  【分类号】：S155.24",58,3
787,张彩哲,水利工程施工中软土地基处理技术研究,水利工程/软土地基/地基处理/处理技术,"目前,我国水利工程事业不断发展,由于水利工程具有工程量大、涉及范围广等特点,在施工过程中受到水文地质条件的影响,地基处理等方面存在很多问题,作为不良地基的一种常见类型,软土地基在施工质量与施工安全等方面都要求较为严格,下面文章就结合水利工程施工实际情况对软土地基处理技术展开分析与研讨,希望能够进一步提高我国软土地基处理技术的应用水平。",《绿色环保建材》,"
2019年05期","【作者单位】：
                河北省水利水电第二勘测设计研究院  【分类号】：TV551.4",153,1
788,范小华/谢德体/魏朝富,三峡水库消落区生态环境保护与调控对策研究,三峡库区/消落区/生态环境/保护措施,"三峡水库建成后,由于水库调度引起库水位周期性的涨落,在库区两岸形成周期性变化的水陆交错区域即消落区。消落区是水、陆生态系统的交错地带,具有生态脆弱性、变化周期性和人类活动频繁性等特点。随着三峡工程逐步投入使用,人类活动对消落区的影响也逐渐增加,并且消落区自身存在生态脆弱性,如果不采取有效措施,它将影响三峡工程的正常运行和整个库区的可持续发展。因此,针对消落区的水、土环境变化特点,分析了消落区土壤与水环境的相互影响,提出了利用生物缓冲带、复合生态、坡地农业、流域生态学、人工湿地及生态河堤等技术来对消落区生态环境进行保护与调控的措施。",《长江流域资源与环境》,"
2006年04期","【作者单位】：
                西南大学资源环境学院重庆数字农业重点实验室  西南大学资源环境学院重庆数字农业重点实验室  西南大学资源环境学院重庆数字农业重点实验室  【基金】：三峡水库消落区生态环境问题及对策研究(第二专题)  







国务院三峡建设委员会办公室及重庆市计委项目(渝计委农20031136)资助  【分类号】：X321",661,34
789,李艳丹,典型氟喹诺酮类抗生素在高岭土上吸附特征的实验研究,氧氟沙星/氟甲喹/高岭土/溶解性腐殖酸,"氟喹诺酮类抗生素(Fluoroquinolone Antibiotics,FQs)在水-土壤/沉积物中已被频繁检出。吸附是控制其迁移转化的重要环节。环境中共存的溶解性有机质(Dissolved Organic Matter,DOM)与重金属离子会影响到抗生素的吸附。溶解性腐殖酸(Dissolved Humic Acid,DHA)是DOM的主要成分之一,而Cu(II)被广泛应用在工农业生产及动物饲料等方面,是水环境中受人关注的重金属离子。本文利用吸附批实验并辅助以微观表征和模拟计算方法研究了Cu(II)和DHA对氧氟沙星(Ofloxacin,OFL)和氟甲喹(Flumequine,FLU)这两种典型FQs在高岭土上吸附与解吸的影响。主要成果如下:(1)OFL主要通过氢键作用和阳离子交换作用吸附到高岭土上。溶液离子强度的增大对OFL+的吸附无影响,但会抑制OFL±的吸附,由此可以判断各形态的OFL与高岭土间的吸附亲和力大小顺序为OFL+OFL±OFL-。OFL吸附分配系数Kd(L/kg)随pH(4.0-10.0)变化呈现不对称的“钟形”,其最大值出现在pH=7.0左右。FLU在高岭土上的吸附机理主要为氢键和静电引力作用。溶液离子强度的增大降低了FLU的活度,导致其Kd值降低。FLU的吸Kd随pH(4.0-10.0)变化也呈现不对称的“钟形”,在pH=6.0左右达到最大。当OFL与FLU共存时,OFL与高岭土间较强的亲和力使其表现出了更强的竞争吸附能力。二者在高岭土上均容易发生解吸,且FLU比OFL解吸率高。(2)在溶液pH≤7.0时,游离态的Cu(II)会与OFL、OFL-Cu或FLU-Cu竞争吸附点位,从而抑制OFL或FLU在高岭土上的吸附。络合物Cu-OFL或CuFLU与高岭土间的亲和力均大于OFL或FLU,因而会促进OFL或FLU的吸附。Cu(II)的抑制或促进作用取决于二者的初始浓度。当溶液pH7.0时,Cu(II)会促进OFL和FLU在高岭土上的吸附,且促进作用随Cu(II)浓度的增大而增强。这是由于pH7.0时,未被络合的Cu(II)主要以Cu(OH)2的形式存在,不会竞争吸附点位。除此之外,Cu(OFL-)2(s)会沉淀到高岭土表面。在解吸过程中,Cu(II)会通过离子交换作用或者“络合拖拽”方式促进OFL在高岭土上的解吸,而Cu(II)对FLU解吸的促进作用是通过“络合拖拽”的方式。(3)在不同体系中,OFL或FLU与DHA的相互作用强度与溶液pH有关。DHA与OFL或FLU间的结合能力随着溶液pH的升高(4.0-10.0)而变弱。结合物DHA-OFL和DHA-FLU与高岭土间亲和力随着溶液pH的升高而降低,因此影响着OFL或FLU在高岭土上的吸附。在酸性条件下,共沉淀作用是目标组分从液相转移到固相的一个重要机理。在解吸过程中,DHA会与吸附到高岭土上的OFL或FLU结合,将吸附在高岭土上的目标污染物“拖拽”下来,从而促进OFL或FLU在高岭土上的解吸。",《中国地质大学(北京)》,"
2017年",【学位授予单位】：中国地质大学(北京)【学位级别】：博士【学位授予年份】：2017【分类号】：X50,317,5
790,王宝民/柯咏东/桑建国,城市街谷大气环境研究进展,大气环境/城市街谷/物理模拟/数值模式,"机动车尾气排放不断增加以及城市通风能力降低 ,常导致城市街谷内的空气污染。城市街谷大气环境主要研究方法包括外场观测、实验室物理模拟和数值计算。外场观测和物理模拟可以考察街谷内污染物的传输扩散规律并对数值模式进行检验 ,另外 ,复杂的数值模式则可对城市冠层内大气扩散问题进行详细模拟 ,数值模拟和外场观测及物理模拟相配合 ,可用于环境质量评价、污染控制决策及交通规划。重点介绍了近十年内城市街谷大气环境研究的主要成果。",《北京大学学报(自然科学版)》,"
2005年01期","【作者单位】：
                北京大学物理学院大气科学系  北京大学物理学院大气科学系  北京大学物理学院大气科学系  【基金】：国家重点基础研究发展规划项目“首都北京及周边地区大气、水、土环境污染机理与调控原理”(G19990 4 5 70 0 )基金资助  【分类号】：X734",999,74
791,章岩,既有混凝土表面渗透强化处理及在西部地区环境下的耐久性研究,既有混凝土/渗透/防护/增强,"从微观结构来看,既有混凝土的孔结构可分为四类,即:超微孔、凝胶孔、毛细孔和大孔,由于毛细孔和大孔的存在,既有混凝土具备非均质多孔结构高渗透性的特点。既有混凝土表面的液体渗透可简化为一种在多孔固体中液体流动的渗流模型,满足Darcy定律,气体渗透满足Fick定律,无论气体渗透还是液体渗透经推导,其渗透深度或是侵蚀系数都与渗透时间呈开方线性关系。既有混凝土很易受使用环境的物理、化学及微生物等的作用而劣化。从混凝土耐久性的破坏机制来讲,几乎所有影响既有混凝土结构耐久性的化学和物理过程都涉及的最主要影响因素,即:水及水载有害离子在既有混凝土孔隙和裂缝中的迁移,故既有混凝土工程的表面渗透性对耐久性具有最重要的影响。既有混凝土的劣化始于表面,提高以表面抗渗透能力和致密程度为主的防护性能,是提高既有混凝土抗劣化能力、增强耐久性能最直接有效的的根本手段。目前对既有混凝土最主要的防护手段是敷设厚质防护涂层,通过渗透方式来增强既有混凝土耐久性的研究还很有限,另外,针对西部地区环境下的渗透防护效果研究尚处于空白。本文通过以渗透时间和渗入深度表征渗透性能,表面接触角表征防护性能,研究出水性、膏状、乳液型、溶剂型四种不同类型的有机硅渗透防护增强材料。在对四种防护增强材料的综合性能对比研究的基础上,利用模糊聚类分析方法,优选出以溶剂型有机硅防护材料AF-6做为底涂层,有机硅改性聚合物乳液防护材料FL-2做为面涂层的复合渗透防护方案。通过复合渗透防护方案和单一渗透防护材料的砂浆表面防护性能、混凝土表面防护性能以及模拟西部地区环境的防护效果对比,研究了复合渗透防护在西部地区环境下的防护效果。通过表面渗透增强机理分析,无论是水泥砂浆还是混凝土,其表面都具备的多孔多相材料易渗透的特性,并且和以容重为表征的致密度呈现线性相关关系,而底涂层渗透防护材料AF-6由于表面张力低,能够通过渗透方式强化既有混凝土3~8mm厚的表层。从化学构造来看,底涂层渗透防护材料渗入既有混凝土表层,经缩聚键合后在既有混凝土表层形成聚硅氧烷疏水网状膜,并与面涂层一起共同构成疏水疏油的防护层,通过表面物理构造分析和孔结构分析以及防护效果的数学演算证实了渗透防护增强既有混凝土的防护性能。研究结果表明,表面渗透防护可以使既有混凝土表层孔结构得到了整体的增强,达到抗水载有害物质性能,实现防护效果,不仅可以提高抗水载有害离子侵蚀为主的耐久性能,还具备提高抗玷污、抗磨蚀等效果。将会成为西部地区增强既有混凝土耐久性能的一种积极、有效的新途径。",《兰州交通大学》,"
2014年",【学位授予单位】：兰州交通大学【学位级别】：博士【学位授予年份】：2014【分类号】：TU528,486,5
792,冉景丞/李贵云/熊亚平/覃龙江/马晓锋/土申/李春梅/莫汉立/,荔波  罕见的喀斯特森林湿地,喀斯特森林/滞留水,"正在整个茂兰保护区中,总面积的六分之一以上为湿地,面积约有3300公顷。这一奇迹,使全世界喀斯特地区都相形见绌。专家们难以相信,被世界公认的缺水、少土、环境恶劣的地方,还会有这样一种景象:这里不仅不缺水,还有那么多的沼泽地和泉眼。茂兰喀斯特森林的存在创造了独特、罕见的喀斯特森林湿地。贵州南部素有""喀斯特王国""的美称,荔波世界自然遗产地堪称其代表。这片宝地包括茂兰国家级自然保护区和樟江国家级风景名胜区中的大、小七孔景区,总面积73016公顷。",《人与自然》,"
2014年10期",【分类号】：P942,1,0
793,黄成敏/龚子同/,海南岛北部玄武岩上土壤发生研究  Ⅲ.元素地球化学特征,玄武岩/成土过程/地球化学/元素,"对海南岛北部玄武岩上不同风化成土年代的土壤研究发现 ,随风化成土年龄增加 ,土壤具有Sr、Ba含量减少 ,Sr/Be比值降低 ,而Ni、Cr、Co、V、Sc以及Fe/Ni和Fe/Co比值有增加的趋势。Ba/Nb与风化成土年龄相关性极好 ,可作为反映土壤风化程度的良好指标。运用质量平衡原理 ,以Ti为非移动元素探讨元素的迁移 ,发现元素淋溶作用在土壤发育初期最强烈。 90 %以上的Ca、Mg、K、Na在新成土阶段淋失 ,P的淋失也基本发生在此阶段 :约 60 %Si至雏形土阶段时已遭淋溶。",《土壤学报》,"
2002年05期","【作者单位】：
                中国科学院南京土壤研究所  中国科学院南京土壤研究所  【基金】：国家自然科学基金重点基金项目 (4 983 1 0 0 4)  








中国科学院特别支持项目 (90科计发 0 85 4)  【分类号】：S151.1",466,51
794,马玥/来航线/韦小敏/王海利/张珊珊/张艳群/,新疆荒漠盐碱环境中抗动物病原菌的放线菌筛选与鉴定,荒漠盐碱环境/动物病原菌/拮抗性放线菌/分类鉴定,"【目的】从新疆荒漠地区特殊生境中,分离筛选对动物病原菌具有较高抑制活性的放线菌。【方法】采用皿内琼脂块法和发酵液滤纸片法,对新疆荒漠盐碱土环境中分离到的412株放线菌的拮抗性进行筛选,并对其中拮抗活性高的菌株进行形态特征、培养特征、生理生化特性及16SrRNA序列的分析鉴定,初步确定其分类地位。【结果】筛选结果显示:新疆地区荒漠土中39.6%的放线菌对所选的8种病原菌有拮抗作用,且随着靶标菌数的增加,拮抗比例减小;供试菌对革兰氏阳性菌的拮抗效果优于革兰氏阴性菌,对牛无乳链球菌Ⅰ、Ⅱ和猪金黄色葡萄球菌Ⅰ、Ⅱ的抑菌效果平均为26.0%和22.3%。通过初筛和复筛得到10株抑菌效果较好的拮抗性放线菌,经多相分类鉴定确定为链霉菌属的不同种,具体分类地位如下:XJ 6-2菌株为天蓝褐链霉菌(Streptomyces coeruleofuscus),XJ 1-5-10菌株为粪生链霉菌(Streptomyces fimicarius),XJ 2-9菌株为灰平链霉菌(Streptomyces griseoplanus),XJ 2-5-1菌株为弗氏链霉菌(Streptomyces fradiae),XJ 19-11菌株为变异链霉菌(Streptomyces variabilis),XJ 1202菌株为苍黄链霉菌(Streptomyces luridus),XJ 1625菌株为微黄绿链霉菌(Streptomyces flavidovirens),XJ 2-9-7菌株为库尔萨诺夫链霉菌(Streptomyces kurssanovii),XJ 617菌株为堆孢链霉菌(Streptomyces massasporeus),而XJ 1-6-5菌株的序列相似度在98%以下,可能为潜在新种,需要进一步鉴定。【结论】新疆地区荒漠土中存在大量拮抗性放线菌,并且获得了10株对动物病原菌有较高抑制活性的放线菌。",《西北农林科技大学学报(自然科学版)》,"
2013年03期","【作者单位】：
                西北农林科技大学资源环境学院;西北农林科技大学生命科学学院;  【基金】：国家“十二五”科技支撑计划项目(2012BAD14B11)  【分类号】：S852.6",299,12
